row_type,hypothesis_id,hypothesis_version,hypothesis_fingerprint,symbol,horizon_bars,spec_fingerprint,state,reason_signature,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta_vs_matched_unconditional,median_delta_vs_matched_unconditional,first_evaluated_timestamp,last_evaluated_timestamp,total_observations,bullish_count,bearish_count,neutral_count,insufficient_data_count,evaluated,insufficient_future_data,no_reference_bar,ineligible,bars_fetched,warmup_bars,observation_bars,outcome_buffer_bars
coverage,trend_alignment,1,650add07184f8440,SPY,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,1709,724,83,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,SPY,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,1709,724,83,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,SPY,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,1709,724,83,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,1189,279,1048,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,1189,279,1048,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,1189,279,1048,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,SPY,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,25,25,2466,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,SPY,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,25,25,2466,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,SPY,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,25,25,2466,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,QQQ,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,1732,722,62,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,QQQ,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,1732,722,62,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,QQQ,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,1732,722,62,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,QQQ,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,1187,288,1041,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,QQQ,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,1187,288,1041,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,QQQ,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,1187,288,1041,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,QQQ,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,25,25,2466,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,QQQ,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,25,25,2466,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,QQQ,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,25,25,2466,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,IWM,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,1580,850,86,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,IWM,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,1580,850,86,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,IWM,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,1580,850,86,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,IWM,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,874,382,1260,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,IWM,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,874,382,1260,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,IWM,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,874,382,1260,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,IWM,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,29,30,2457,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,IWM,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,29,30,2457,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,IWM,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,29,30,2457,0,2516,0,0,0,2640,85,2516,39
