row_type,hypothesis_id,symbol,asset_class,state,horizon_bars,segment,partition,reason_signature,momentum_state,sampling_view,count,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta,median_delta,delta_reference,length_min,length_median,length_max,share_largest_episode,share_three_largest,mean_delta_sign,median_delta_sign,timestamp,bars_since_previous_cross,status_h1,return_h1,status_h5,return_h5,status_h20,return_h20
episode_summary,trend_alignment,SPY,equity,bullish,,,,,,,1709,,,,,,,,,26,,,,3,54.5,237,0.13867758923346987,0.26916325336454067,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,bullish,1,,,,,episode_start,26,26,-0.00020184083620091635,0.00011527456382187662,-0.011999789245307646,0.013795307262334244,14,12,0,26,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,bullish,5,,,,,episode_start,26,26,-0.0001139539850717549,0.0011670747428768058,-0.04752737403512497,0.024629232242005417,16,10,0,26,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,bullish,20,,,,,episode_start,26,26,0.005634326365630356,0.012505429930581458,-0.08532137479403046,0.06662931523008031,16,10,0,26,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,SPY,equity,bearish,,,,,,,724,,,,,,,,,23,,,,2,22.0,72,0.09944751381215469,0.26657458563535913,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,bearish,1,,,,,episode_start,23,23,0.00025930265032927583,3.569307351969364e-05,-0.01933274167988286,0.024016281090541547,12,11,0,23,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,bearish,5,,,,,episode_start,23,23,-0.003286840887607339,0.006153873415206235,-0.1004001066684278,0.03762560558432648,13,10,0,23,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,bearish,20,,,,,episode_start,23,23,-0.006090020374631568,-0.002473855329105601,-0.19289794403109595,0.07208099495047882,11,12,0,23,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,SPY,equity,neutral,,,,,,,83,,,,,,,,,39,,,,1,1.0,9,0.10843373493975904,0.27710843373493976,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,neutral,1,,,,,episode_start,39,39,0.0032411279771208876,0.0014355507793102351,-0.012944505019818364,0.02201747792330533,27,12,0,39,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,neutral,5,,,,,episode_start,39,39,0.0044095280177287016,0.006553992427181798,-0.0578204036710418,0.03374015527593688,26,13,0,39,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,SPY,equity,neutral,20,,,,,episode_start,39,39,0.0031495588936033803,0.010342633533480416,-0.1580099173158248,0.0634368082995802,23,16,0,39,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,SPY,equity,bullish,,,,,,,1189,,,,,,,,,103,,,,1,7.0,60,0.050462573591253154,0.13372582001682085,,,,,,,,,,
episode_start,momentum_in_trend_context,SPY,equity,bullish,1,,,,,episode_start,103,103,-0.0007693807261227754,-0.0003753757576251404,-0.033572609261206754,0.014081232703867963,48,54,1,103,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,SPY,equity,bullish,5,,,,,episode_start,103,103,0.0014294513073034353,0.004112090972584248,-0.054770024126488126,0.030324522414209687,65,38,0,103,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,SPY,equity,bullish,20,,,,,episode_start,103,103,0.010516948029006375,0.013351071244918966,-0.12265433282794513,0.09704902385998881,72,31,0,103,,,,,,,,,,,,,,,,,,
